iter	Passed	Remaining
1223	23648	14992
1224	23667	14973
1225	23685	14953
1226	23705	14934
1227	23725	14915
1228	23744	14896
1229	23764	14877
1230	23783	14857
1231	23803	14838
1232	23822	14819
1233	23842	14800
1234	23862	14781
1235	23882	14762
1236	23902	14743
1237	23922	14724
1238	23941	14705
1239	23962	14686
1240	23983	14668
1241	23998	14646
1242	24017	14627
1243	24036	14607
1244	24053	14586
1245	24071	14566
1246	24088	14545
1247	24110	14527
1248	24129	14508
1249	24150	14490
1250	24171	14472
1251	24189	14451
1252	24209	14432
1253	24228	14413
1254	24248	14394
1255	24268	14375
1256	24288	14356
1257	24305	14336
1258	24327	14318
1259	24346	14298
1260	24366	14279
1261	24386	14260
1262	24406	14241
1263	24428	14224
1264	24449	14205
1265	24469	14187
1266	24491	14169
1267	24512	14150
1268	24531	14131
1269	24551	14111
1270	24570	14092
1271	24589	14073
1272	24607	14053
1273	24617	14028
1274	24636	14009
1275	24656	13989
1276	24676	13970
1277	24695	13951
1278	24713	13931
1279	24733	13912
1280	24751	13892
1281	24769	13872
1282	24789	13853
1283	24808	13834
1284	24828	13815
1285	24844	13793
1286	24861	13773
1287	24880	13753
1288	24899	13734
1289	24917	13714
1290	24937	13695
1291	24956	13676
1292	24975	13656
1293	24995	13637
1294	25014	13617
1295	25034	13599
1296	25051	13578
1297	25071	13559
1298	25091	13540
1299	25111	13521
1300	25131	13502
1301	25151	13483
1302	25170	13464
1303	25191	13446
1304	25212	13427
1305	25231	13407
1306	25250	13388
1307	25269	13368
1308	25287	13348
1309	25307	13330
1310	25325	13309
1311	25343	13289
1312	25359	13268
1313	25381	13250
1314	25400	13231
1315	25421	13212
1316	25441	13193
1317	25460	13174
1318	25479	13155
1319	25500	13136
1320	25522	13118
1321	25542	13099
1322	25564	13081
1323	25585	13063
1324	25605	13044
1325	25625	13025
1326	25643	13005
1327	25662	12986
1328	25680	12966
1329	25699	12946
1330	25716	12926
1331	25733	12905
1332	25749	12884
1333	25772	12866
1334	25792	12847
1335	25812	12828
1336	25831	12809
1337	25853	12791
1338	25872	12771
1339	25888	12751
1340	25904	12730
1341	25926	12711
1342	25945	12692
1343	25965	12673
1344	25984	12654
1345	26005	12635
1346	26025	12616
1347	26043	12596
1348	26061	12576
1349	26076	12555
1350	26092	12534
